,Destination,Destination_Code,Origin,Origin_Code,1990,1995,2000,2005,2010,2015,2020,1990.1,1995.1,2000.1,2005.1,2010.1,2015.1,2020.1,1990.2,1995.2,2000.2,2005.2,2010.2,2015.2,2020.2
26,Malawi,454,SubSaharanAfrica,947,1094691,184685,177801,169610,170909,157004,157089,532898,86677,83182,79094,79823,73179,76009,561793,98008,94619,90516,91086,83825,81080
27,Mauritius,480,SubSaharanAfrica,947,283,473,928,1728,2628,3023,3052,106,271,547,882,1307,1578,1596,177,202,381,846,1321,1445,1456
28,Mayotte,175,SubSaharanAfrica,947,11374,22215,39872,54300,61750,69075,94669,6631,12246,20303,26795,29280,31959,43799,4743,9969,19569,27505,32470,37116,50870
29,Mozambique,508,SubSaharanAfrica,947,110658,152208,177044,243094,277302,295496,313605,59359,81962,92676,116879,132865,141608,151924,51299,70246,84368,126215,144437,153888,161681
30,Reunion,638,SubSaharanAfrica,947,6588,14244,22557,26800,29540,30544,31637,3538,7032,10789,12815,14097,14501,15022,3050,7212,11768,13985,15443,16043,16615
31,Rwanda,646,SubSaharanAfrica,947,139805,201277,337752,405872,410794,505797,505069,70919,102784,170544,203679,206433,251270,254804,68886,98493,167208,202193,204361,254527,250265
32,Seychelles,690,SubSaharanAfrica,947,441,1114,1792,1899,2010,2247,2280,201,499,799,1035,1269,1465,1492,240,615,993,864,741,782,788
33,Somalia,706,SubSaharanAfrica,947,460000,18044,555,1166,26220,13675,21800,234861,9490,293,618,13375,6840,11575,225139,8554,262,548,12845,6835,10225
34,SouthSudan,728,SubSaharanAfrica,947,0,0,0,0,221518,272522,285136,0,0,0,0,114016,148283,151782,0,0,0,0,107502,124239,133354
35,Uganda,800,SubSaharanAfrica,947,394598,314286,231178,244461,336245,772560,1646637,208078,162544,112578,117586,163981,378851,793254,186520,151742,118600,126875,172264,393709,853383
36,UnitedRepublicofTanzania,834,SubSaharanAfrica,947,561589,1090113,931093,750218,290527,330630,378188,276567,538364,471745,475423,143968,162933,188435,285022,551749,459348,274795,146559,167697,189753
37,Zambia,894,SubSaharanAfrica,947,262435,225762,332181,221083,122234,108686,155714,134001,115149,168852,112194,60947,53986,79702,128434,110613,163329,108889,61287,54700,76012
38,Zimbabwe,716,SubSaharanAfrica,947,585810,375319,338200,300516,274468,275965,286702,328197,214117,192867,171448,156574,155508,163039,257613,161202,145333,129068,117894,120457,123663
39,MiddleAfrica,911,SubSaharanAfrica,947,1186276,2351725,1407982,1408031,1553439,2244984,2556505,599698,1189938,721097,732748,812456,1179078,1343032,586578,1161787,686885,675283,740983,1065906,1213473
40,Angola,24,SubSaharanAfrica,947,22461,26970,31471,43106,55191,115965,149245,11792,13605,15419,20520,25923,55246,85999,10669,13365,16052,22586,29268,60719,63246
41,Cameroon,120,SubSaharanAfrica,947,200667,186692,172716,234599,275705,483991,555310,107753,100006,92259,129086,151988,240186,274168,92914,86686,80457,105513,123717,243805,281142
42,CentralAfricanRepublic,140,SubSaharanAfrica,947,23708,34298,41909,32712,32127,27674,31511,12799,17801,21247,16608,16321,13960,15775,10909,16497,20662,16104,15806,13714,15736
43,Chad,148,SubSaharanAfrica,947,57600,62677,67751,93863,111162,129405,155648,31095,33795,36493,42577,49793,60172,71432,26505,28882,31258,51286,61369,69233,84216
44,Congo,178,SubSaharanAfrica,947,110639,176921,290592,306075,397828,363994,361617,54345,88198,145465,165760,215889,199480,197277,56294,88723,145127,140315,181939,164514,164340
45,DemocraticRepublicoftheCongo,180,SubSaharanAfrica,947,647111,1700649,600750,477311,427128,770011,913938,311570,843870,294644,231602,204317,383319,449167,335541,856779,306106,245709,222811,386692,464771
46,EquatorialGuinea,226,SubSaharanAfrica,947,736,976,1213,1770,2324,2906,3488,443,584,725,1073,1421,1791,2153,293,392,488,697,903,1115,1335
47,Gabon,266,SubSaharanAfrica,947,118077,157908,197521,215406,249468,348818,383768,67096,89678,112778,123909,145541,223810,246068,50981,68230,84743,91497,103927,125008,137700
48,SaoTomeandPrincipe,678,SubSaharanAfrica,947,5277,4634,4059,3189,2506,2220,1980,2805,2401,2067,1613,1263,1114,993,2472,2233,1992,1576,1243,1106,987
49,NorthernAfrica,912,SubSaharanAfrica,947,1379708,1073557,871041,622994,732627,769868,1569747,687991,545813,455155,342629,400598,420039,814969,691717,527744,415886,280365,332029,349829,754778
50,Algeria,12,SubSaharanAfrica,947,926,6248,11570,9147,10050,10923,11361,453,3511,6569,5193,5517,5992,6227,473,2737,5001,3954,4533,4931,5134
51,Egypt,818,SubSaharanAfrica,947,7191,11471,16660,23833,26708,35171,80359,4723,6978,9785,14673,15960,21140,41418,2468,4493,6875,9160,10748,14031,38941
52,Libya,434,SubSaharanAfrica,947,21513,56481,92400,101854,112610,127815,137405,13457,37338,62289,74579,82670,93425,101246,8056,19143,30111,27275,29940,34390,36159
53,Morocco,504,SubSaharanAfrica,947,4280,3929,4140,4393,4772,6152,6753,2264,2052,2128,2226,2406,3090,3480,2016,1877,2012,2167,2366,3062,3273
54,Sudan,729,SubSaharanAfrica,947,1341832,991203,741534,478568,571500,581350,1324964,664989,493660,371817,243065,290156,291661,657591,676843,497543,369717,235503,281344,289689,667373
55,Tunisia,788,SubSaharanAfrica,947,1567,1560,1801,1726,2976,3836,4069,781,785,909,886,1534,1975,2121,786,775,892,840,1442,1861,1948
56,WesternSahara,732,SubSaharanAfrica,947,2399,2665,2936,3473,4011,4621,4836,1324,1489,1658,2007,2355,2756,2886,1075,1176,1278,1466,1656,1865,1950
