"City (en)","City (es)","Country (en)","Country (es)","Country code","Population","Latitude","Longitude","Region"
"Amsterdam","Ámsterdam","Netherlands","Países Bajos","NL",872700,52.37403,4.88969,"North-Holland"
"Lisbon","Lisbon","Portugal","Portugal","PT",505500,38.71667,-9.13333,"Lisbon"
"Mexico City","Ciudad de México","Mexico","México","MX",9209900,19.42847,-99.12766,"Central-South"
"Beijing","Pekín","China","China","CN",21893100,39.9075,116.39723,"North China (Huáběi)"
"Port-au-Prince","Port-au-Prince","Haiti","Haití","HT",987300,18.53917,-72.335,"West"
