Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1990-0717-DEU|1990|0717||Natural|Meteorological|Storm|||Daria|Germany|DEU|Western Europe|Europe||||||No|No|||Kph|||||1990|1|25|1990|1|26|8|||||||600000|1343909|1200000|2687818|44,6458774383636||||
1990-0718-DEU|1990|0718||Natural|Meteorological|Storm|||Herta|Germany|DEU|Western Europe|Europe||||||No|No|||Kph|||||1990|2|3|1990|2|4|7|||||||300000|671955|600000|1343909|44,6458774383636||||
1990-0719-DEU|1990|0719||Natural|Meteorological|Storm|||Judith|Germany|DEU|Western Europe|Europe||||||No|No|||Kph|||||1990|2|7|1990|2|8||||||||30000|67195|60000|134391|44,6458774383636||||
1990-0721-DEU|1990|0721||Natural|Meteorological|Storm|||Ottilie and Polly|Germany|DEU|Western Europe|Europe||||||No|No|||Kph|||||1990|2|13|1990|2|15|10|||||||90000|201586|180000|403173|44,6458774383636||||
1990-0722-DEU|1990|0722||Natural|Meteorological|Storm|||Vivian|Germany|DEU|Western Europe|Europe||||||No|No|||Kph|||||1990|2|25|1990|2|27|15|||||||600000|1343909|1200000|2687818|44,6458774383636||||
1990-0723-DEU|1990|0723||Natural|Meteorological|Storm|||Wiebke|Germany|DEU|Western Europe|Europe||||||No|No|||Kph|||||1990|2|28|1990|3|1|24|||||||600000|1343909|1200000|2687818|44,6458774383636||||
1990-0181-DFR|1990|0181||Technological|Technological|Transport accident|Air||Lockheed C-5|Germany Fed Rep|DFR|Western Europe|Europe|Ramstein||||||||||||||1990|8|29|1990|8|29|13|||||||||||44,6458774383636||||
1990-0692-DFR|1990|0692||Technological|Technological|Transport accident|Rail|||Germany Fed Rep|DFR|Western Europe|Europe|Ruesselsheim||||||||||||||1990|2|2|1990|2|2|16|72|||72|||||||44,6458774383636||||
1990-0717-DNK|1990|0717||Natural|Meteorological|Storm|||Daria|Denmark|DNK|Northern Europe|Europe||||||No|No|||Kph|||||1990|1|25|1990|1|26||||||||60000|134391|120000|268782|44,6458774383636||||
1990-0722-DNK|1990|0722||Natural|Meteorological|Storm|||Vivian|Denmark|DNK|Northern Europe|Europe||||||No|No|||Kph|||||1990|2|25|1990|2|27||||||||30000|67195|60000|134391|44,6458774383636||||
1990-0723-DNK|1990|0723||Natural|Meteorological|Storm|||Wiebke|Denmark|DNK|Northern Europe|Europe||||||No|No|||Kph|||||1990|2|28|1990|3|1|1|||||||||10000|22398|44,6458774383636||||
1991-0296-AUT|1991|0296||Natural|Hydrological|Flood|Riverine flood|||Austria|AUT|Western Europe|Europe|Salzburg, Linz, Krems|Heavy rain|Rain|Slide (land, mud, snow, rock)||No|Yes|||Km2||||Danube|1991|8|2|1991|8|6|5|||||||||82000|176205|46,5366206057622||||
1991-0520-AUT|1991|0520||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Austria|AUT|Western Europe|Europe|||Slide (land, mud, snow, rock)|||No|No|||Kph|||||1991|7|13|1991|7|14||||||||||28000|60168|46,5366206057622||||
1991-0296-DFR|1991|0296||Natural|Hydrological|Flood|Riverine flood|||Germany Fed Rep|DFR|Western Europe|Europe|Bavière|Heavy rains and thunderstorms|Rain|||No|No|||Km2|||||1991|8|1|1991|8|5|5|||||||||56000|120335|46,5366206057622||||
