Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1995-0058-RUS|1995|0058||Technological|Technological|Industrial accident|Explosion||Coal mine|Russian Federation (the)|RUS|Eastern Europe|Europe|Vorkuta|||||||||m3|||||1995|3|31|1995|3|31|10|||||||||||52,0692986874991||||
1995-0200-RUS|1995|0200||Technological|Technological|Industrial accident|Explosion||Coal mine|Russian Federation (the)|RUS|Eastern Europe|Europe|Kemerovo|||||||||m3|||||1995|9|4|1995|9|4|15|||||||||||52,0692986874991||||
1995-0107-RUS|1995|0107||Technological|Technological|Industrial accident|Gas leak|||Russian Federation (the)|RUS|Eastern Europe|Europe|Near Vodny (Komi Republic)|||||||||m3|||||1995|4|27|1995|4|27||||||||||||52,0692986874991||||
1995-0361-RUS|1995|0361||Technological|Technological|Miscellaneous accident|Fire||Hotel|Russian Federation (the)|RUS|Eastern Europe|Europe|Irkutsk (Siberie)||||||||||||||1995|3|12|1995|3|12|35|21|||21|||||||52,0692986874991||||
1995-0040-RUS|1995|0040||Natural|Meteorological|Storm||||Russian Federation (the)|RUS|Eastern Europe|Europe|Caspian Sea (Kalmyk Republic)|||||||||Kph|||||1995|3|15|1995|3|15|52||900|1200|2100|||||||52,0692986874991||||
1995-0239-RUS|1995|0239||Natural|Hydrological|Landslide||||Russian Federation (the)|RUS|Eastern Europe|Europe|Nazran Region||||||||||||||1995|9|28|1995|9|28|17|||||||||||52,0692986874991||||
1995-0133-SCG|1995|0133||Technological|Technological|Industrial accident|Explosion||Factory|Serbia Montenegro|SCG|Southern Europe|Europe|Belgrade (Serbia)|||||||||m3|||||1995|6|23|1995|6|23|10|11|||11|||||||52,0692986874991||||
1995-0435-SVK|1995|0435||Technological|Technological|Industrial accident|Explosion||Pipeline|Slovakia|SVK|Eastern Europe|Europe|Eastern Slovakia||||Yes|||||m3|||||1995|10|27|1995|10|27|11|200|||200|||||||52,0692986874991||||
1995-0318-SVN|1995|0318||Technological|Technological|Industrial accident|Fire||Waste dumping|Slovenia|SVN|Southern Europe|Europe|Mezica (Carinthia region)|||||||||m3|||||1995|12|22|1995|12|22||||||||||||52,0692986874991||||
1995-0429-SWE|1995|0429||Technological|Technological|Industrial accident|Fire||Car parts supply plant|Sweden|SWE|Northern Europe|Europe|Arson|||||||||m3|||||1995|7|17|1995|7|17||||||||||30200|58000|52,0692986874991||||
1995-0175-UKR|1995|0175||Natural|Hydrological|Flood|Riverine flood|||Ukraine|UKR|Eastern Europe|Europe|Kharkov||||Yes|||285||Km2|||||1995|6|29|1995|6|29|||1700000||1700000|||||||52,0692986874991||||
1995-0320-UKR|1995|0320||Natural|Biological|Epidemic|Bacterial disease|||Ukraine|UKR|Eastern Europe|Europe||||||||||Vaccinated|||||1995|1||1995|1||204||5336||5336|||||||52,0692986874991||||
1996-0006-PRT|1996|0006||Natural|Hydrological|Flood|Flash flood|||Portugal|PRT|Southern Europe|Europe|Central and North Regions|Torrential rains||||No|No|||Km2|||||1996|1|8|1996|1|8|10||1050||1050|||||13000|24256|53,5955608540084||||
1996-0281-PRT|1996|0281||Natural|Hydrological|Flood|Riverine flood|||Portugal|PRT|Southern Europe|Europe|North|Heavy rain||||No|No|||Km2||||Tigus river|1996|12|22|1996|12|24|||2000||2000|||||||53,5955608540084||||
1996-0362-ROU|1996|0362||Natural|Meteorological|Extreme temperature |Heat wave|||Romania|ROU|Eastern Europe|Europe|||||||||40|°C|||||1996|7|4|1996|7|4|16|200|||200|||||||53,5955608540084||||
1996-0219-ROU|1996|0219||Natural|Biological|Epidemic|Bacterial disease|||Romania|ROU|Eastern Europe|Europe|Bucharest, Dolj, Galati and Constanta District|||||No|No|||Vaccinated|||||1996|7|30|1996|10|15|||527||527|||||||53,5955608540084||||
1996-0050-ROU|1996|0050||Technological|Technological|Transport accident|Air||Antonov An-24|Romania|ROU|Eastern Europe|Europe|Baia Mare|||||No|No||||||||1996|2|16|1996|2|16|10|||||||||||53,5955608540084||||
1996-0017-ROU|1996|0017||Technological|Technological|Transport accident|Rail|||Romania|ROU|Eastern Europe|Europe|South Eastern|||||No|No||||||||1996|1|27|1996|1|27|12|||||||||||53,5955608540084||||
1996-0471-RUS|1996|0471||Natural|Hydrological|Flood|Flash flood|||Russian Federation (the)|RUS|Eastern Europe|Europe|North Primorye, Southern Khavarovsk|Brief torrential rain||||No|No||524900|Km2|||||1996|8|1|1996|8|25|4||14000||14000|||||140000|261216|53,5955608540084||||
1996-0359-RUS|1996|0359||Natural|Hydrological|Flood|Riverine flood|||Russian Federation (the)|RUS|Eastern Europe|Europe|Irkoutsk region (Siberia)|Heavy rains||||No|No||614000|Km2|||||1996|7|3|1996|7|7|||220000||220000|||||158400|295547|53,5955608540084||||
1996-0294-RUS|1996|0294||Natural|Hydrological|Landslide|Avalanche|||Russian Federation (the)|RUS|Eastern Europe|Europe|South, Caucasus Mountains||||||||||||||1996|12|29|1996|12|29|||300||300|||||||53,5955608540084||||
1996-0100-RUS|1996|0100||Natural|Climatological|Wildfire|Forest fire|||Russian Federation (the)|RUS|Eastern Europe|Europe|Irkoutz (Siberia)|||||No|No||80000|Km2|||||1996|5||1996|5||19|||600|600|||||||53,5955608540084||||
1996-0070-RUS|1996|0070||Technological|Technological|Transport accident|Air||IL-76|Russian Federation (the)|RUS|Eastern Europe|Europe|Kamchatka||||||||||||||1996|4|4|1996|4|4|21|||||||||||53,5955608540084||||
1996-0278-RUS|1996|0278||Technological|Technological|Transport accident|Air||IL-76|Russian Federation (the)|RUS|Eastern Europe|Europe|Near Abakan, Siberia||||||||||||||1996|11|28|1996|11|28|23|||||||||||53,5955608540084||||
1996-0292-RUS|1996|0292||Technological|Technological|Transport accident|Air||Antonov An-12|Russian Federation (the)|RUS|Eastern Europe|Europe|Near Pskov||||||||||||||1996|12|17|1996|12|17|17|||||||||||53,5955608540084||||
1996-0361-RUS|1996|0361||Technological|Technological|Transport accident|Road|||Russian Federation (the)|RUS|Eastern Europe|Europe|Rostov|||||No|No||||||||1996|9|26|1996|9|26|21|||||||||||53,5955608540084||||
1996-0137-RUS|1996|0137||Technological|Technological|Transport accident|Rail|||Russian Federation (the)|RUS|Eastern Europe|Europe|Siberia, Litvinovo, Kemerovo||||||||||||||1996|5|31|1996|5|31|50|||||||||||53,5955608540084||||
1996-0095-RUS|1996|0095||Technological|Technological|Miscellaneous accident|Explosion||Apartment block|Russian Federation (the)|RUS|Eastern Europe|Europe|Svetogorsk|||||No|No||||||||1996|5|22|1996|5|22|57|||||||||||53,5955608540084||||
1996-0360-RUS|1996|0360||Technological|Technological|Miscellaneous accident|Explosion||Caserne|Russian Federation (the)|RUS|Eastern Europe|Europe|Kaspiisk (Daguestan)||||||||||||||1996|11|16|1996|11|16|67|36|||36|||||||53,5955608540084||||
1996-0374-RUS|1996|0374||Technological|Technological|Industrial accident|Explosion||Building|Russian Federation (the)|RUS|Eastern Europe|Europe|Priasiorsk|||||||||m3|||||1996|12|20|1996|12|20|20|30|||30|||||||53,5955608540084||||
1996-0209-RUS|1996|0209||Technological|Technological|Industrial accident|Gas leak||Oil refinery|Russian Federation (the)|RUS|Eastern Europe|Europe|Volgorgrad|||||||||m3|||||1996|7|26|1996|7|26||||||||||||53,5955608540084||||
1996-0094-RUS|1996|0094||Technological|Technological|Industrial accident|Chemical spill||Phenol|Russian Federation (the)|RUS|Eastern Europe|Europe|Joumerlia|||||No|No|||m3|||||1996|5|20|1996|5|20||100|||100|||||||53,5955608540084||||
1996-0099-RUS|1996|0099||Technological|Technological|Miscellaneous accident|Fire||Apartment building|Russian Federation (the)|RUS|Eastern Europe|Europe|Litovko|||||No|No||||||||1996|5|31|1996|5|31|4||600||600|||||||53,5955608540084||||
1996-0185-SCG|1996|0185||Technological|Technological|Transport accident|Air||Iliyushin-76|Serbia Montenegro|SCG|Southern Europe|Europe|Near Belgrade (Serbia)||||||||||||||1996|8|19|1996|8|19|12|||||||||||53,5955608540084||||
1996-0475-UKR|1996|0475||Natural|Hydrological|Flood|Riverine flood|||Ukraine|UKR|Eastern Europe|Europe|Luhanska, Rivnenska, Khmalnitska provinces|Snowmelt||||No|No|||Km2||||Prypyat river|1996|4|3|1996|4|10|||10000||10000|||||||53,5955608540084||||
1996-0159-UKR|1996|0159||Technological|Technological|Transport accident|Rail|||Ukraine|UKR|Eastern Europe|Europe|Dniprodzerzhinsk city||||||||||||||1996|7|2|1996|7|2|30|50|||50|||||||53,5955608540084||||
1997-0271-PRT|1997|0271||Natural|Meteorological|Storm||||Portugal|PRT|Southern Europe|Europe|South||Slide (land, mud, snow, rock)|Flood||No|No|||Kph|||||1997|10|30|1997|11|8|29|||200|200|||||25000|45580|54,8484541709928||||
1997-0143-POL|1997|0143||Natural|Hydrological|Flood|Riverine flood|||Poland|POL|Eastern Europe|Europe|Katowice, Opole, Walbrzych, Raciborz, Wroclaw, Slubice|Heavy rains|||Yes|Yes|No|26704|34950|Km2||||Oder|1997|7|3|1997|8|9|55||162500|62000|224500|||450000|820442|3500000|6381219|54,8484541709928||||
1997-0007-POL|1997|0007||Natural|Meteorological|Extreme temperature |Cold wave|||Poland|POL|Eastern Europe|Europe|||||||||-37|°C|||||1997|1|4|1997|1|4|50|||||||||||54,8484541709928||||
1997-0107-POL|1997|0107||Technological|Technological|Transport accident|Rail|||Poland|POL|Eastern Europe|Europe|Near Szczecin||||||||||||||1997|5|5|1997|5|5|10|12|||12|||||||54,8484541709928||||
1997-9105-PRT|1997|9105||Natural|Climatological|Drought|Drought|||Portugal|PRT|Southern Europe|Europe||||||No|No|||Km2|||||1997|4||1997||||||||||||10000|18232|54,8484541709928||||
1997-0166-ROU|1997|0166||Natural|Hydrological|Flood|Riverine flood|||Romania|ROU|Eastern Europe|Europe|Alba, Arad, Bihor, Bistrita-Nasaud, Botosani, Braila, Buzau, Dimbovita, Galati, Hundedoara, Maramures, Mures, Sibiu, Timis, Tulcea, Vaskui, Vrancea, Prahova, Bacau, Iasi, Suceava, Teleorman, Olt, Dolj, Caras-Severin|Heavy rain||||No|No|410|2951|Km2|||||1997|7|4|1997|8|9|20|||122320|122320|||||110000|200553|54,8484541709928||||
1997-0151-ROU|1997|0151||Technological|Technological|Miscellaneous accident|Explosion||Military airfield|Romania|ROU|Eastern Europe|Europe|Near Craiova||||||||||||||1997|8|9|1997|8|9|19|2|||2|||||||54,8484541709928||||
1997-0335-ROU|1997|0335||Natural|Meteorological|Storm||||Romania|ROU|Eastern Europe|Europe|Oltenia|||||||||Kph|||||1997|6|20|1997|6|20|12|60|||60|||||||54,8484541709928||||
1997-0564-RUS|1997|0564||Natural|Hydrological|Flood|Riverine flood|||Russian Federation (the)|RUS|Eastern Europe|Europe|Krasny (Akskaisky region)|Heavy rain||||No|No||12910|Km2|||||1997|4|15|1997|4|17|2||500||500|||||174100|317420|54,8484541709928||||
1997-0291-RUS|1997|0291||Natural|Meteorological|Extreme temperature |Cold wave|||Russian Federation (the)|RUS|Eastern Europe|Europe|Moscow||||||||-28|°C|||||1997|12|17|1997|12|17|22|||||||||||54,8484541709928||||
1997-0194-RUS|1997|0194||Natural|Climatological|Wildfire|Forest fire|||Russian Federation (the)|RUS|Eastern Europe|Europe|Altay Territory, Siberia||||||||100|Km2|||||1997|7|14|1997|7|14|14|||||||||||54,8484541709928||||
1997-0510-RUS|1997|0510||Natural|Biological|Epidemic|Viral disease||Haemorrhagic fever with renal syndrome|Russian Federation (the)|RUS|Eastern Europe|Europe|Bashkiria,Orenburg|||||||||Vaccinated|||||1997|12|17|1997|12|17|||4538||4538|||||||54,8484541709928||||
1997-0046-RUS|1997|0046||Technological|Technological|Transport accident|Air||Antonov An-24|Russian Federation (the)|RUS|Eastern Europe|Europe|Tcherkesk (Caucase)||||||||||||||1997|3|18|1997|3|18|46|||||||||||54,8484541709928||||
1997-0289-RUS|1997|0289||Technological|Technological|Transport accident|Air||Antonov-124|Russian Federation (the)|RUS|Eastern Europe|Europe|Irkutsk||||||||||||||1997|12|6|1997|12|6|80|15|||15|||||||54,8484541709928||||
1997-0160-RUS|1997|0160||Technological|Technological|Miscellaneous accident|Explosion||Office building|Russian Federation (the)|RUS|Eastern Europe|Europe|Near Kueda, Perm region (Oural)|||||No|No||||||||1997|7|28|1997|7|28|16|15|||15|||||||54,8484541709928||||
1997-0470-RUS|1997|0470||Technological|Technological|Industrial accident|Explosion||Coal mine|Russian Federation (the)|RUS|Eastern Europe|Europe|Novokuznetsk|||||||||m3|||||1997|12|2|1997|12|2|69|4|||4|||||||54,8484541709928||||
1997-0478-RUS|1997|0478||Technological|Technological|Industrial accident|Poisoning||Vodka|Russian Federation (the)|RUS|Eastern Europe|Europe|Krasnoiarsk (Siberia)|||||||||m3|||||1997|9|2|1997|9|2|21|12|||12|||||||54,8484541709928||||
1997-0029-RUS|1997|0029||Technological|Technological|Industrial accident|Fire||Chemical factory|Russian Federation (the)|RUS|Eastern Europe|Europe|Khabarovsk|||||||||m3|||||1997|2|19|1997|2|19|1|217|||217|||||||54,8484541709928||||
1997-0130-RUS|1997|0130||Technological|Technological|Miscellaneous accident|Fire||Old people home|Russian Federation (the)|RUS|Eastern Europe|Europe|Kosya||||||||||||||1997|6|12|1997|6|12|16|1|||1|||||||54,8484541709928||||
1997-0154-SVK|1997|0154||Natural|Hydrological|Flood|Riverine flood|||Slovakia|SVK|Eastern Europe|Europe||||||No|No|||Km2|||||1997|7|4|1997|8|9||||||||||60000|109392|54,8484541709928||||
1997-0154-UKR|1997|0154||Natural|Hydrological|Flood|Riverine flood|||Ukraine|UKR|Eastern Europe|Europe||||||No|No|||Km2|||||1997|7|4|1997|8|9||||||||||17000|30994|54,8484541709928||||
1997-0200-UKR|1997|0200||Natural|Meteorological|Storm|Tropical cyclone|||Ukraine|UKR|Eastern Europe|Europe||||||No|No|||Kph|||||1997|6|23|1997|6|24|11|||||||||34000|61989|54,8484541709928||||
1997-0505-UKR|1997|0505||Natural|Biological|Epidemic|Bacterial disease|||Ukraine|UKR|Eastern Europe|Europe||||||||||Vaccinated|||||1997|11|12|1997|11|12|||102||102|||||||54,8484541709928||||
1997-0245-UKR|1997|0245||Technological|Technological|Transport accident|Rail|||Ukraine|UKR|Eastern Europe|Europe|Dniepropetrovsk||||||||||||||1997|10|7|1997|10|7|16|2|||2|||||||54,8484541709928||||
1998-0193-ROU|1998|0193||Natural|Hydrological|Flood|Riverine flood|||Romania|ROU|Eastern Europe|Europe|Bacau, Vaslui, Vrancea (Northetn Moldavia), Salaj, Mures, Neamt, Cluj, Alba, Sibiu, Hundoara (Transylvania)|Heavy rains|Slide (land, mud, snow, rock)||Yes|No|No|2270|1030|Km2|||||1998|6|15|1998|6|30|31||12000||12000|||||150000|269300|55,6998628053472||||
1998-0225-POL|1998|0225||Natural|Hydrological|Flood|Riverine flood|||Poland|POL|Eastern Europe|Europe|Kedzko region|Heavy rain||||No|No|||Km2|||||1998|7|23|1998|7|27|9||1200||1200|||||||55,6998628053472||||
1998-0378-POL|1998|0378||Natural|Meteorological|Extreme temperature |Cold wave|||Poland|POL|Eastern Europe|Europe|||||||||-26|°C|||||1998|11|29|1998|11|29|64|||||||||||55,6998628053472||||
1998-0408-ROU|1998|0408||Natural|Meteorological|Extreme temperature |Cold wave|||Romania|ROU|Eastern Europe|Europe|Jasi, Bucarest Departments|||||||||°C|||||1998|11|18|1998|11|18|60||1700||1700|||||||55,6998628053472||||
1998-0250-ROU|1998|0250||Natural|Meteorological|Extreme temperature |Heat wave|||Romania|ROU|Eastern Europe|Europe|||||||||39|°C|||||1998|8|3|1998|8|3|20|||||||||||55,6998628053472||||
1998-0166-RUS|1998|0166||Natural|Hydrological|Flood|Riverine flood|||Russian Federation (the)|RUS|Eastern Europe|Europe|Lenks, Sibary|||||||||Km2|||||1998|5|17|1998|5|17|||20000||20000|||||||55,6998628053472||||
1998-0179-RUS|1998|0179||Natural|Hydrological|Flood|Riverine flood|||Russian Federation (the)|RUS|Eastern Europe|Europe|Sakha-Yakutia region (Siberia)|Ici jam|||Yes|Yes|No|1549||Km2|||||1998|5|16|1998|6|6|13||42600|36000|78600|||||3500|6284|55,6998628053472||||
1998-0406-RUS|1998|0406||Natural|Meteorological|Extreme temperature |Cold wave|||Russian Federation (the)|RUS|Eastern Europe|Europe|Kazakstan border|||||No|No||-35|°C|||||1998|11|16|1998|12|28|69|263|||263|||||||55,6998628053472||||
1998-0300-RUS|1998|0300||Natural|Climatological|Wildfire|Forest fire|||Russian Federation (the)|RUS|Eastern Europe|Europe|Sakhalin Isl.||||Yes|No|No|744|5000|Km2|||||1998|7|20|1998|10|21|3||100000|683|100683|||||270000|484741|55,6998628053472||||
1998-0363-RUS|1998|0363||Technological|Technological|Transport accident|Rail|||Russian Federation (the)|RUS|Eastern Europe|Europe|Khabarovsk||||||||||||||1998|10|26|1998|10|26|22|20|||20|||||||55,6998628053472||||
1998-0020-RUS|1998|0020||Technological|Technological|Industrial accident|Explosion||Mine|Russian Federation (the)|RUS|Eastern Europe|Europe|Vorkuta|||||||||m3|||||1998|1|18|1998|1|18|27|5|||5|||||||55,6998628053472||||
1998-0121-RUS|1998|0121||Natural|Hydrological|Flood||||Russian Federation (the)|RUS|Eastern Europe|Europe|Veliky Ustyung|||||||||Km2|||||1998|5|7|1998|5|7|||3500||3500|||||||55,6998628053472||||
1998-0194-RUS|1998|0194||Natural|Meteorological|Storm||||Russian Federation (the)|RUS|Eastern Europe|Europe|Moscow|||||No|No||108|Kph|||||1998|6|20|1998|6|21|8|160|||160|||||160000|287254|55,6998628053472||||
1998-0021-SCG|1998|0021||Technological|Technological|Industrial accident|Explosion||Lignite mine|Serbia Montenegro|SCG|Southern Europe|Europe|Citluk, Sokobanja (Serbia)|||||||||m3|||||1998|1|17|1998|1|17|29|19|||19|||||||55,6998628053472||||
1998-0224-SVK|1998|0224||Natural|Hydrological|Flood|Riverine flood|||Slovakia|SVK|Eastern Europe|Europe|Sabinov, Presov districts|Brief torrential rain||||No|No|||Km2||||Branisko Mala Svinka Svinka Zehrica an Torysa rivers|1998|7|20|1998|7|24|54|61|10850|756|11667|||3000|5386|45000|80790|55,6998628053472||||
1998-0110-SVN|1998|0110||Natural|Geophysical|Earthquake|Ground movement|||Slovenia|SVN|Southern Europe|Europe|Bovec, Trenta, Kobarid, Tolmin, Bojinj, Jesenice||||Yes|||50|6|Richter|46.245|13.652|12:55||1998|4|12|1998|4|12||||700|700|||||||55,6998628053472||||
1998-0365-SWE|1998|0365||Technological|Technological|Miscellaneous accident|Fire||Cultural centre|Sweden|SWE|Northern Europe|Europe|Hisingen (near Gothenburg)||||||||||||||1998|10|30|1998|10|30|63|162|||162|||||||55,6998628053472||||
1998-0359-UKR|1998|0359||Natural|Hydrological|Flood|Riverine flood|||Ukraine|UKR|Eastern Europe|Europe|Tyachev, Rahi, Vinogradi, Mukachevo, Khust Perechin, Svalyava, Irshave, Uzhgoro districts (Transcarpathian) + Mukachevo, Khust cities||||Yes|||2920|1000|Km2|||||1998|11|8|1998|11|8|18|230||24340|24570|||||1259|2260|55,6998628053472||||
1998-0099-UKR|1998|0099||Technological|Technological|Industrial accident|Explosion||Mine|Ukraine|UKR|Eastern Europe|Europe|Donetsk||||Yes|||||m3|||||1998|4|11|1998|4|11|63|43|||43|||||||55,6998628053472||||
1998-0264-UKR|1998|0264||Technological|Technological|Industrial accident|Explosion||Coal mine|Ukraine|UKR|Eastern Europe|Europe|Beloye|||||||||m3|||||1998|7|16|1998|7|16|28|4|||4|||||||55,6998628053472||||
1998-0584-ALB|1998|0584||Natural|Geophysical|Earthquake|Ground movement|||Albania|ALB|Southern Europe|Europe|Kukes, Peshkopi||||||||5|Richter|41.925|20.39|01:24||1998|10|1|1998|10|1|||2100||2100|||||||55,6998628053472||||
1998-0436-BEL|1998|0436||Natural|Meteorological|Storm|Extra-tropical storm||Cilly, Desiree, Fanny|Belgium|BEL|Western Europe|Europe||||||No|No|||Kph|||||1998|1|1|1998|1|6||||||||||500|898|55,6998628053472||||
1998-0436-CHE|1998|0436||Natural|Meteorological|Storm|Extra-tropical storm||Cilly, Desiree, Fanny|Switzerland|CHE|Western Europe|Europe||||||No|No|||Kph|||||1998|1|1|1998|1|6||||||||||1000|1795|55,6998628053472||||
1999-0182-AUT|1999|0182||Natural|Hydrological|Flood|Riverine flood|||Austria|AUT|Western Europe|Europe||||||No|No|||Km2|||||1999|5|11|1999|6|30|3|||||||||32000|56221|56,9185870408555||||
1999-0050-AUT|1999|0050||Natural|Hydrological|Landslide|Avalanche|||Austria|AUT|Western Europe|Europe|Galtuer, Valzur|||||No|No||||||||1999|2|24|1999|2|24|50||10000||10000|||||41570|73034|56,9185870408555||||
1999-0014-AUT|1999|0014||Technological|Technological|Transport accident|Road|||Austria|AUT|Western Europe|Europe|Deutschlandsberg||||||||||||||1999|1|24|1999|1|24|18|32|||32|||||||56,9185870408555||||
1999-0188-AUT|1999|0188||Technological|Technological|Transport accident|Road|||Austria|AUT|Western Europe|Europe|Flachau (St. Michael, Tauern Tunnel)|||||No|No||||||||1999|5|29|1999|5|29|12|50|||50|||||||56,9185870408555||||
1999-0592-AZO|1999|0592||Technological|Technological|Transport accident|Air||ATP-Sata Air Azores|Azores Islands|AZO|Southern Europe|Europe|San Jorge Isl.||||||||||||||1999|12|11|1999|12|11|35|||||||||||56,9185870408555||||
1999-0283-BEL|1999|0283||Natural|Meteorological|Storm|Convective storm|Tornado||Belgium|BEL|Western Europe|Europe|Tournai|||||||||Kph|||||1999|8|14|1999|8|14||5|900||905|||||486|854|56,9185870408555||||
1999-0571-BEL|1999|0571||Natural|Meteorological|Storm|Extra-tropical storm||Lothar|Belgium|BEL|Western Europe|Europe||||||No|No|||Kph|||||1999|12|25|1999|12|27|2|||||||10000|17569|50000|87845|56,9185870408555||||
1999-0175-BGR|1999|0175||Natural|Meteorological|Storm|Convective storm|Tornado||Bulgaria|BGR|Eastern Europe|Europe|Zhultucha|||||||||Kph|||||1999|5|16|1999|5|16||||850|850|||||||56,9185870408555||||
1999-0577-BIH|1999|0577||Natural|Meteorological|Storm||||Bosnia and Herzegovina|BIH|Southern Europe|Europe|Mostar, Capljina, Citluk, Sarajevo, Trebinje, Herzegovina-Neretva|||||||||Kph|||||1999|12|16|1999|12|16|||1000|90|1090|||||||56,9185870408555||||
1999-0132-BLR|1999|0132||Natural|Hydrological|Flood|Riverine flood|||Belarus|BLR|Eastern Europe|Europe|Brest,Gomel and Minsk regions|Snowmelt||||No|No|119|2557|Km2||||Pripyat, Dnieper, Berezina, Sozh, Nieman, Zapadnaya Dvina|1999|3|7|1999|4|10|2||2000||2000|||||4380|7695|56,9185870408555||||
1999-0185-BLR|1999|0185||Technological|Technological|Miscellaneous accident|Other|||Belarus|BLR|Eastern Europe|Europe|Minsk||||||||||||||1999|5|30|1999|5|30|54|78|||78|||||||56,9185870408555||||
1999-0182-CHE|1999|0182||Natural|Hydrological|Flood|Riverine flood|||Switzerland|CHE|Western Europe|Europe||||||No|No|||Km2|||||1999|5|11|1999|6|30|3|||||||250000|439224|330000|579775|56,9185870408555||||
1999-0263-CHE|1999|0263||Natural|Hydrological|Landslide|Avalanche|||Switzerland|CHE|Western Europe|Europe|Evolene (Herens Valley, Valais)|||||No|No||||||||1999|2|21|1999|2|21|30|||||||200000|351379|685000|1203473|56,9185870408555||||
1999-0571-CHE|1999|0571||Natural|Meteorological|Storm|Extra-tropical storm||Lothar|Switzerland|CHE|Western Europe|Europe||||||No|No||210|Kph|||||1999|12|25|1999|12|27|12|||||||800000|1405516|1500000|2635343|56,9185870408555||||
1999-0239-CHE|1999|0239||Technological|Technological|Miscellaneous accident|Other|||Switzerland|CHE|Western Europe|Europe|Interlaken (Canton de berne)||||||||||||||1999|7|27|1999|7|27|21|6|||6|||||||56,9185870408555||||
2000-0311-AUT|2000|0311||Natural|Meteorological|Storm||||Austria|AUT|Western Europe|Europe|Steiermark province||Hail|||||||Kph|||||2000|5|27|2000|5|27||||||||||20000|33990|58,8406484917497|1|483||Steiermark (Adm1). 
2000-9537-BIH|2000|9537||Natural|Climatological|Drought|Drought|||Bosnia and Herzegovina|BIH|Southern Europe|Europe|Federacija Bosne I Hercegovine, Republika Srpska provinces|Lack of rain|Heat wave|||||||Km2|||||2000|8||2000||||||||||||158000|268522|58,8406484917497|1|652;653||Federacija Bosne I Hercegovine, Republika Srpska (Adm1). 
2000-0155-AUT|2000|0155||Natural|Hydrological|Landslide|Avalanche|||Austria|AUT|Western Europe|Europe|Kitzsteinhorn (Zell am See, Salzburg)||||||||||||||2000|3|28|2000|3|28|13|||||||||||58,8406484917497|2||5641|Zell am See (Adm2). 
2000-0730-AUT|2000|0730||Technological|Technological|Transport accident|Rail||Funicular train|Austria|AUT|Western Europe|Europe|Kitzteinhorn - Kaprun||||||||||||||2000|10|11|2000|10|11|155|12|||12|||||||58,8406484917497||||
2000-0029-BGR|2000|0029||Natural|Meteorological|Extreme temperature |Cold wave|||Bulgaria|BGR|Eastern Europe|Europe|Sofia province, Sofia-city province|||||||||°C|||||2000|1||2000|1|||||||||||||58,8406484917497|1|722;723||Sofia, Sofia-city (Adm1). 
2000-0382-BGR|2000|0382||Natural|Meteorological|Extreme temperature |Heat wave|||Bulgaria|BGR|Eastern Europe|Europe|Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces||||||||43|°C|||||2000|6||2000|7||7|||||||||50|85|58,8406484917497|1|702;722;723;724;728||Blagoevgrad, Sofia, Sofia-city, Stara Zagora, Vidin (Adm1). 
2000-0407-BGR|2000|0407||Natural|Climatological|Wildfire|Forest fire|||Bulgaria|BGR|Eastern Europe|Europe|Haskovo, Jambol, Burgas, Stara Zagora, Plovdiv provinces||||||||36|Km2|||||2000|7|1|2000|7|1|7|17||150|167|||||17600|29911|58,8406484917497|1|703;706;707;715;724||Burgas, Haskovo, Jambol, Plovdiv, Stara Zagora (Adm1). 
