Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:46 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|522||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1992-9543-AUS|1992|9543||Natural|Climatological|Drought|Drought|||Australia|AUS|Australia and New Zealand|Oceania|Queensland|||||No|Yes|||Km2|||||1992|12||1995|12||||7000000||7000000|||||1500000|3128511|47,9461296367986||||
1992-0232-COK|1992|0232||Technological|Technological|Miscellaneous accident|Fire||Government office|Cook Islands (the)|COK|Polynesia|Oceania|Avarua (Rarotonga)||||Yes||||||||||1992|5|15|1992|5|15||||||||||||47,9461296367986||||
1993-0516-AUS|1993|0516||Natural|Meteorological|Storm|Convective storm|Tornado||Australia|AUS|Australia and New Zealand|Oceania|Manduarh|||||||||Kph|||||1993|9||1993|9|||20|10000|25|10045|||||||49,3613321649381||||
1993-0214-AUS|1993|0214||Natural|Hydrological|Flood|Flash flood|||Australia|AUS|Australia and New Zealand|Oceania|Victoria and New South Wales states|Brief torrential rain||||No|No||4160|Km2|||||1993|10|3|1993|10|15|1|30|15000|5500|20530|||||4600|9319|49,3613321649381||||
1993-0515-AUS|1993|0515||Natural|Meteorological|Extreme temperature |Heat wave|||Australia|AUS|Australia and New Zealand|Oceania|South-east Australia|||||||||°C|||||1993|2||1993|2||17|500|3000000||3000500|||||||49,3613321649381||||
1993-0517-AUS|1993|0517||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Melbourne, Shepparton|||||||||Kph|||||1993|12||1993|12|||5|2000|20|2025|||||||49,3613321649381||||
1994-0001-AUS|1994|0001||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|Nouvelle Galle du Sud||||||||8000|Km2|||||1994|1|6|1994|1|6|4|120|25000|900|26020|||||150000|296159|50,6484026622566||||
1990-0188-FJI|1990|0188||Natural|Geophysical|Earthquake|Ground movement|||Fiji|FJI|Melanesia|Oceania|South of Fiji Islands|||||No|No||7|Richter|22.122 S|175.163 E|||1990|3|3|1990|3|3||||||||||||44,6458774383636||||
1990-0221-FJI|1990|0221||Natural|Geophysical|Earthquake|Ground movement|||Fiji|FJI|Melanesia|Oceania||||||No|No||6|Richter|21.363 S|176.582 W|||1990|6|23|1990|6|23||||||||||||44,6458774383636||||
1990-0121-FJI|1990|0121||Natural|Meteorological|Storm|Tropical cyclone||Sina|Fiji|FJI|Melanesia|Oceania|Viti Levu, Lau group|||||||||Kph|||||1990|11|28|1990|11|28|||3000|3000|6000|||||10000|22398|44,6458774383636||||
1990-0007-NIU|1990|0007||Natural|Meteorological|Storm|Tropical cyclone||Ofa|Niue|NIU|Polynesia|Oceania|Alofi|||||||||Kph|||||1990|2|4|1990|2|4|||200||200|||||||44,6458774383636||||
1990-0214-PNG|1990|0214||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|North East coast|||||No|No|||Richter|3.5 S|144 E|||1990|6|7|1990|6|7||||||||||||44,6458774383636||||
1991-0456-MHL|1991|0456||Natural|Meteorological|Storm|Tropical cyclone||Zelda|Marshall Islands (the)|MHL|Micronesia|Oceania||||||||||Kph|||||1991|11|28|1991|11|28||||6000|6000|||||||46,5366206057622||||
1991-0686-NZL|1991|0686||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|Pounawea, Newhaven, Tahakopa (Clutha district, Catlins Ward)|||||||||Km2|||||1991|2|18|1991|2|18|||128||128|||||||46,5366206057622||||
1991-0059-PNG|1991|0059||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Chimbu province|Heavy rains||||No|No||||||||1991|2|24|1991|2|24|200|||5000|5000|||||||46,5366206057622||||
1992-0162-FJI|1992|0162||Natural|Meteorological|Storm|Tropical cyclone||Joni|Fiji|FJI|Melanesia|Oceania|Viti Levu|||||No|No|||Kph|||||1992|12|11|1992|12|11|1||2000||2000|||||1600|3337|47,9461296367986||||
1992-0344-GUM|1992|0344||Natural|Meteorological|Storm|Tropical cyclone||Omar|Guam|GUM|Micronesia|Oceania|Yigo, Taimuning, Dededo, Barrigada|||||||||Kph|||||1992|8|28|1992|8|28|1|542||5000|5542|||||300000|625702|47,9461296367986||||
1992-0343-NZL|1992|0343||Natural|Meteorological|Storm|Convective storm|Winter storm/Blizzard||New Zealand|NZL|Australia and New Zealand|Oceania|Canterbury|||||||||Kph|||||1992|8|24|1992|8|24||||||||20600|42965|51500|107412|47,9461296367986||||
1992-9543-NZL|1992|9543||Natural|Climatological|Drought|Drought|||New Zealand|NZL|Australia and New Zealand|Oceania||||||No|No|||Km2|||||1994|1||1994|8|||||||||||100000|208567|47,9461296367986||||
1992-0221-NZL|1992|0221||Natural|Meteorological|Storm||||New Zealand|NZL|Australia and New Zealand|Oceania|Masterton|||||||||Kph|||||1992|7|22|1992|7|22||||||||||||47,9461296367986||||
1992-0146-PNG|1992|0146||Natural|Geophysical|Volcanic activity|Ash fall||Manam|Papua New Guinea|PNG|Melanesia|Oceania|Manam Isl.||||||Yes||||-4.08|145.037|||1992|10|14|1992|10|14||||||||||||47,9461296367986||||
1992-0123-PNG|1992|0123||Natural|Hydrological|Flood||||Papua New Guinea|PNG|Melanesia|Oceania|Green River (Near Iran Jaya)|||||||1118||Km2|||||1992|3||1992|3||||90000||90000|||||||47,9461296367986||||
1993-0049-GUM|1993|0049||Natural|Geophysical|Earthquake|Ground movement|||Guam|GUM|Micronesia|Oceania|Tumon Bay area||Slide (land, mud, snow, rock)|Tsunami/Tidal wave||No|No||8|Richter|12.982 N|144.801 E|18:34||1993|8|9|1993|8|9||71|||71|||50000|101294|120000|243105|49,3613321649381||||
1993-0076-PNG|1993|0076||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|Goroka||Slide (land, mud, snow, rock)||Yes|No|No|335|7|Richter|5.889 S|146.202 E|00:06||1993|10|13|1993|10|13|53|200|10000|10000|20200|||||5000|10129|49,3613321649381||||
1993-0002-FJI|1993|0002||Natural|Meteorological|Storm|Tropical cyclone||Kina|Fiji|FJI|Melanesia|Oceania|Yasawa, Northern and Eastern Viti Levu, Southern Vanua Levu, Western and Southern Lau group||||Yes|||4350|241|Kph|||||1993|1|2|1993|1|2|21|3|150000|10000|160003|||||100000|202588|49,3613321649381||||
1993-0016-PNG|1993|0016||Natural|Meteorological|Storm|Tropical cyclone||Adel|Papua New Guinea|PNG|Melanesia|Oceania|Woodlark, Trobriand, Kitava, Fegusson, Goodenough|||||||1|83|Kph|||||1993|5|14|1993|5|14|15|40|25000|15000|40040|||||1500|3039|49,3613321649381||||
1993-0038-PNG|1993|0038||Natural|Hydrological|Flood||||Papua New Guinea|PNG|Melanesia|Oceania|Bougainville Isl.|||||||||Km2|||||1993|6|12|1993|6|12|||14000|40000|54000|||||2500|5065|49,3613321649381||||
1990-0006-TKL|1990|0006||Natural|Meteorological|Storm|Tropical cyclone||Ofa|Tokelau|TKL|Polynesia|Oceania|Nukunonu, Atafu, Fakaofu atolls|||||||||Kph|||||1990|2||1990|2|||||102|102|||||2400|5376|44,6458774383636||||
1990-0008-TON|1990|0008||Natural|Meteorological|Storm|Tropical cyclone||Ofa|Tonga|TON|Polynesia|Oceania|'Tofahi, Niuatoputapu, Niuafo''ou Islands'||||Yes|||||Kph|||||1990|2|4|1990|2|4|1|3|2600|500|3103|||||2500|5600|44,6458774383636||||
1990-0010-TUV|1990|0010||Natural|Meteorological|Storm|Tropical cyclone||Ofa|Tuvalu|TUV|Polynesia|Oceania|Vaitupu||||Yes|||||Kph|||||1990|2|4|1990|2|4|||300|400|700|||||||44,6458774383636||||
