Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:46 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|522||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1998-0022-AUS|1998|0022||Natural|Hydrological|Flood|Coastal flood|||Australia|AUS|Australia and New Zealand|Oceania|Katherine|Tropical cyclone||||No|No|||Km2|||||1998|1|25|1998|1|28|2||1175||1175|||42900|77020|100000|179534|55,6998628053472||||
1998-0192-AUS|1998|0192||Natural|Hydrological|Flood|Flash flood|||Australia|AUS|Australia and New Zealand|Oceania|Victoria State|Brief torrential rain||||No|No|||Km2||||Entrance Orbost Wuk Wuk Conn Snowy Buchan Mitchell Tambo Swift Creek rivers|1998|6|22|1998|6|24|1||300||300|||||||55,6998628053472||||
1998-0059-AUS|1998|0059||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Queensland, Burketown||||||||100000|Km2|||||1998|3|5|1998|3|5|||7000||7000|||||||55,6998628053472||||
1998-0227-AUS|1998|0227||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Narrabri|||||No|No||1000|Km2|||||1998|7|17|1998|9|8|14||200||200|||||100000|179534|55,6998628053472||||
1998-0261-AUS|1998|0261||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Wollongong (New South Wales)|Heavy rains||||No|No|||Km2|||||1998|7|21|1998|9|9|1||6300||6300|||||122700|220288|55,6998628053472||||
1994-0693-NZL|1994|0693||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|Wanganui|||||||||Km2|||||1994|11|8|1994|11|8|||157||157|||||||50,6484026622566||||
1995-0237-NZL|1995|0237||Natural|Geophysical|Volcanic activity|Ash fall||Mount Ruapehu|New Zealand|NZL|Australia and New Zealand|Oceania|North of the Island|||||No|No||||39.28 S|175.57 E|||1995|9|24|1995|9|24|||70||70|||||||52,0692986874991||||
1996-0315-NZL|1996|0315||Natural|Meteorological|Storm|||Fergus|New Zealand|NZL|Australia and New Zealand|Oceania|Thames Valley ( Coromandel District)||||||||130|Kph|||||1996|12|30|1996|12|30|1||2000||2000|||||||53,5955608540084||||
1997-0259-COK|1997|0259||Natural|Meteorological|Storm|Tropical cyclone||Martin|Cook Islands (the)|COK|Polynesia|Oceania|Pukapuka, Rakahanga, Manihiki isla,ds|||||||297|130|Kph|||||1997|11|7|1997|11|7|19|200|700||900|||||||54,8484541709928||||
1997-0538-COK|1997|0538||Natural|Biological|Epidemic|Viral disease||Dengue fever|Cook Islands (the)|COK|Polynesia|Oceania|Rarotonga|||||No|No|||Vaccinated|||||1997|1||1997|2|15|||123||123|||||||54,8484541709928||||
1997-0039-FJI|1997|0039||Natural|Meteorological|Storm|Tropical cyclone||Gavin|Fiji|FJI|Melanesia|Oceania|Western division||||||||240|Kph|||||1997|3|10|1997|3|10|25||3500||3500|||||27000|49227|54,8484541709928||||
1997-0292-GUM|1997|0292||Natural|Meteorological|Storm|Tropical cyclone||Paka|Guam|GUM|Micronesia|Oceania|||||||||300|Kph|||||1997|12|17|1997|12|17||20|1400|5000|6420|||||200000|364641|54,8484541709928||||
1997-0169-GUM|1997|0169||Technological|Technological|Transport accident|Air||Boeing 747|Guam|GUM|Micronesia|Oceania|||||||||||||||1997|8|6|1997|8|6|228|||||||||||54,8484541709928||||
1997-0016-NZL|1997|0016||Natural|Hydrological|Flood|Riverine flood|||New Zealand|NZL|Australia and New Zealand|Oceania|Opuha|||||||||Km2|||||1997|2|7|1997|2|7|||200||200|||||||54,8484541709928||||
1997-0037-NZL|1997|0037||Natural|Meteorological|Storm|||Drena|New Zealand|NZL|Australia and New Zealand|Oceania|Moanatairi (Thames Coromandel)||||||||100|Kph|||||1997|1|11|1997|1|11|3||140||140|||||||54,8484541709928||||
1998-0211-NZL|1998|0211||Natural|Hydrological|Flood|Riverine flood|||New Zealand|NZL|Australia and New Zealand|Oceania|North Is. and N. South Island|Heavy rain||||No|No|||Km2|||||1998|6|30|1998|7|20|||200||200|||||75000|134650|55,6998628053472||||
1994-0212-PNG|1994|0212||Natural|Geophysical|Volcanic activity|Ash fall||Rabaul|Papua New Guinea|PNG|Melanesia|Oceania|Eastern New Britain||||Yes|||1732|||-4.271|152.203|||1994|9|19|1994|9|19|5|2|106000|46000|152002|||||110000|217184|50,6484026622566||||
1994-0597-PNG|1994|0597||Technological|Technological|Transport accident|Air||De Havilland "Twin Otter"|Papua New Guinea|PNG|Melanesia|Oceania|Tabubil||||||||||||||1994|12|17|1994|12|17|28|||||||||||50,6484026622566||||
1994-0176-PNG|1994|0176||Technological|Technological|Industrial accident|Explosion||Mine|Papua New Guinea|PNG|Melanesia|Oceania|Porgera|||||||||m3|||||1994|8|2|1994|8|2|11|60|||60|||||12000|23693|50,6484026622566||||
1995-0149-PNG|1995|0149||Technological|Technological|Transport accident|Air||DHC-6-300|Papua New Guinea|PNG|Melanesia|Oceania|Near Gurney aiprort||||||||||||||1995|7|12|1995|7|12|15|||||||||||52,0692986874991||||
1996-0234-PLW|1996|0234||Technological|Technological|Miscellaneous accident|Collapse||Bridge|Palau|PLW|Micronesia|Oceania|Koror||||Yes||||||||||1996|9|26|1996|9|26|1|4|12000||12004|||||||53,5955608540084||||
1996-0238-PNG|1996|0238||Natural|Geophysical|Volcanic activity|Ash fall||Tavurvur|Papua New Guinea|PNG|Melanesia|Oceania|Rabaul Town|||||No|No||||4.3 S|152.2 E|||1996|10|6|1996|10|6|||300||300|||||||53,5955608540084||||
1996-0300-PNG|1996|0300||Natural|Geophysical|Volcanic activity|Ash fall||Manam|Papua New Guinea|PNG|Melanesia|Oceania|Manam Isl.||||||||||-4.08|145.037|||1996|12|4|1996|12|4|4|29|1500||1529|||||||53,5955608540084||||
1996-0280-PNG|1996|0280||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Wajunda Village||||||||||||||1996|12|24|1996|12|24|38|8|||8|||||||53,5955608540084||||
1996-0162-PNG|1996|0162||Technological|Technological|Transport accident|Air||De Havilland DHC-6|Papua New Guinea|PNG|Melanesia|Oceania|Southern Highlands province||||||||||||||1996|7|9|1996|7|9|19|||||||||||53,5955608540084||||
1997-0539-VUT|1997|0539||Natural|Geophysical|Earthquake|Tsunami|||Vanuatu|VUT|Melanesia|Oceania|Santa Cruz Isl.(archip.)|Earthquake|Tsunami/Tidal wave||||||8|Richter|-12.584|166.676|||1997|4|21|1997|4|21||||||||||||54,8484541709928||||
1997-9263-PNG|1997|9263||Natural|Climatological|Drought|Drought|||Papua New Guinea|PNG|Melanesia|Oceania|Milne Bay, Morobe, Madang, East |El Nino|Wildfire||Yes|No|No|17528|452800|Km2|||||1997|9||1998|||60||500000||500000|||||||54,8484541709928||||
1997-9300-SLB|1997|9300||Natural|Climatological|Drought|Drought|||Solomon Islands|SLB|Melanesia|Oceania|Choiseul, Isabel, Western, Central provinces||Water shortage|||No|No|||Km2|||||1997|11||1997||||||||||||||54,8484541709928||||
1997-0093-PNG|1997|0093||Natural|Meteorological|Storm|Tropical cyclone||Justin|Papua New Guinea|PNG|Melanesia|Oceania||||||||40|130|Kph|||||1997|3|11|1997|3|11|32|||7500|7500|||||||54,8484541709928||||
1997-0264-PNG|1997|0264||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Papua New Guinea|PNG|Melanesia|Oceania||||||||||Km2|||||1997|9|23|1997|9|23|||8000||8000|||||||54,8484541709928||||
1997-0094-TON|1997|0094||Natural|Meteorological|Storm|Tropical cyclone||Hina|Tonga|TON|Polynesia|Oceania|Tonatapu Is.|||||||251|93|Kph|||||1997|3|16|1997|3|16||||3000|3000|||||||54,8484541709928||||
1998-0220-PNG|1998|0220||Natural|Geophysical|Earthquake|Tsunami|||Papua New Guinea|PNG|Melanesia|Oceania|Sandaun Province|Earthquake|||Yes|||6228|7|Richter|-2.961|141.926|18:49||1998|7|17|1998|7|17|2182|668|9199||9867|||||||55,6998628053472||||
1998-0136-PNG|1998|0136||Natural|Biological|Epidemic|Viral disease||Acute respiratory syndrome|Papua New Guinea|PNG|Melanesia|Oceania||||||||||Vaccinated|||||1998|2|4|1998|2|4|114|||||||||||55,6998628053472||||
1998-0116-PYF|1998|0116||Natural|Hydrological|Landslide|Landslide|||French Polynesia|PYF|Polynesia|Oceania|Raiatea and Tahaa Is.||||||||||||||1998|4|25|1998|4|25|13|11|||11|||||||55,6998628053472||||
1998-0051-TON|1998|0051||Natural|Meteorological|Storm|Tropical cyclone||Ron|Tonga|TON|Polynesia|Oceania|Niuafoou, Niuatoputapu, Tafahi Isl.|||||||198||Kph|||||1998|1|7|1998|1|7|||500||500|||||||55,6998628053472||||
1998-0090-VUT|1998|0090||Natural|Meteorological|Storm|Tropical cyclone||Yali, Zuman|Vanuatu|VUT|Melanesia|Oceania|West and SSE Erromango, West and North Tanna, Aniwa Isl., Gaua Isl., Santo Isl.|||||||175|157|Kph|||||1998|3|21|1998|3|21|||2400||2400|||||||55,6998628053472||||
1999-0104-AUS|1999|0104||Natural|Meteorological|Storm|Convective storm|Hail||Australia|AUS|Australia and New Zealand|Oceania|Sydney||Hail|||No|No|||Kph|||||1999|4|14|1999|4|14|1|24|6000||6024|||1100000|1932585|1500000|2635343|56,9185870408555||||
1999-0051-AUS|1999|0051||Natural|Meteorological|Storm|Tropical cyclone||Rona|Australia|AUS|Australia and New Zealand|Oceania|Queensland State||Flood|||No|Yes||170|Kph|||||1999|2|2|1999|2|11|5||2000||2000|||||300000|527069|56,9185870408555||||
1999-0092-AUS|1999|0092||Natural|Meteorological|Storm|Tropical cyclone||Vance|Australia|AUS|Australia and New Zealand|Oceania|Exmouth|||||No|No||300|Kph|||||1999|3|19|1999|3|23|1||2000|672|2672|||||200000|351379|56,9185870408555||||
1999-0001-AUS|1999|0001||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|Victoria, South Australia||||||||1000|Km2|||||1999|1||1999|1||1||2000||2000|||||||56,9185870408555||||
1999-0657-AUS|1999|0657||Technological|Technological|Transport accident|Rail|||Australia|AUS|Australia and New Zealand|Oceania|Glenbrook|||||No|No||||||||1999|12|2|1999|12|2|12|51|||51|||||||56,9185870408555||||
1999-0739-AUS|1999|0739||Natural|Meteorological|Storm|||John|Australia|AUS|Australia and New Zealand|Oceania|Whim Creek, Roeburne|||||No|No||300|Kph|||||1999|7|14|1999|7|15||1|||1|||||196300|344879|56,9185870408555||||
2000-0097-AUS|2000|0097||Natural|Meteorological|Storm|Tropical cyclone||Steve|Australia|AUS|Australia and New Zealand|Oceania|Cairns, Tablelands districts (Queensland province), New South Wales province||Flood||||Yes||120|Kph|||||2000|2|27|2000|3|13|1||200||200|||10000|16995|90000|152955|58,8406484917497|1;2|470|154657;154694|New South Wales (Adm1). Cairns (R), Tablelands (R) (Adm2). 
2000-0750-AUS|2000|0750||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Bingara, Yallaroi villages (Gwydir district, New South Wales province), Coonebarabran village (Warrumbungle Shire district, New South Wales province), Berrigan, Corowa Shire, Deniliquin, Murray districts (New South Wales province)||||||||112000|Km2||||Peel, Namoi, Murray, Edward, Gwydir, Belubula, Castlereagh, Macquarie, Macintyre, Barwon, Bulloo, Ward rivers|2000|11|17|2000|12|2|||600||600|||||265000|450369|58,8406484917497|2||4954;4992;5051;154623;154628;154642|Berrigan (A), Corowa Shire (A), Deniliquin (A), Gwydir (A), Murray (A), Warrumbungle Shire (A) (Adm2). 
2000-0214-AUS|2000|0214||Natural|Meteorological|Storm|Tropical cyclone||Tessi|Australia|AUS|Australia and New Zealand|Oceania|Townsville district (Queensland province)||||||||130|Kph|||||2000|4|3|2000|4|3|||400||400|||||60000|101970|58,8406484917497|2||154698|Townsville (C) (Adm2). 
2000-0843-AUS|2000|0843||Natural|Meteorological|Storm|Tropical cyclone||Sam|Australia|AUS|Australia and New Zealand|Oceania|Bidyadanga area (Broome district, Western Australia province)||||||||280|Kph|||||2000|12|7|2000|12|7|||750||750|||||||58,8406484917497|2||5445|Broome (S) (Adm2). 
2000-0659-AUS|2000|0659||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts (New South Wales province)|||||||||Km2|||||2000|10||2000|10||||200||200|||||||58,8406484917497|2||4944;4945;4948;4963;4967;4972;5020;5023;5024;5030;5031;5035;5044;5045;5048;5060;5066;5069;5073;5075;5076;5085;5086;5104;5105;5109;5114;143252;154629;154637|Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) (Adm2). 
2000-0249-AUS|2000|0249||Natural|Biological|Insect infestation|Locust|||Australia|AUS|Australia and New Zealand|Oceania|South Australia, New South Wales, Queensland||||||||||||||2000|4||2000|4|||||||||||120000|203941|58,8406484917497||||
2000-0811-AUS|2000|0811||Technological|Technological|Transport accident|Water|||Australia|AUS|Australia and New Zealand|Oceania|Ashmore Isl.|||||No|No||||||||2000|12|8|2000|12|8|163|||||||||||58,8406484917497||||
2000-0348-AUS|2000|0348||Technological|Technological|Miscellaneous accident|Fire||Hotel|Australia|AUS|Australia and New Zealand|Oceania|Childers (North of Brisbane)||||||||||||||2000|6|23|2000|6|23|18|9|||9|||||||58,8406484917497||||
2001-0103-AUS|2001|0103||Natural|Hydrological|Flood|Coastal flood|||Australia|AUS|Australia and New Zealand|Oceania|'Pigeon Hole, Kalkarindji, Daguragu areas (Victoria-Daly district, Northern Territory province), Borroloola, Ryan''s Bend areas (Roper Gulf district, Northern Territory province), Devil''s Springs area (Barkly district, Northern Territory province)'|Tropical cyclone|||||||32100|Km2|||||2001|2|18|2001|2|23|||670||670|||||13000|21486|60,5035788853056|2||154711;154717;154719|Barkly (S), Roper Gulf (S), Victoria-Daly (S) (Adm2). 
2001-0087-AUS|2001|0087||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Grafton, Maclean villages (Clarence Valley district, New South Wales province)|||||||||Km2|||||2001|2|1|2001|2|1||||||||||||60,5035788853056|2||154617|Clarence Valley (A) (Adm2). 
2001-0028-AUS|2001|0028||Natural|Hydrological|Flood||||Australia|AUS|Australia and New Zealand|Oceania|Granville, Wenworthville villages (Parramatta district, New South Wales province), Merrylands village (Holroyd district, New South Wales province), Dural village (Hornsby district, New South Wales province), North Richmond village (Hawkesbury district, New South Wales province)||||||||100|Km2|||||2001|1||2001|1||1|30|300||330|||||12000|19834|60,5035788853056|2||5017;5020;5021;5066|Hawkesbury (C), Holroyd (C), Hornsby (A), Parramatta (C) (Adm2). 
2001-0030-AUS|2001|0030||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Sydney district (New South Wales province)||||||||112|Kph|||||2001|1|16|2001|1|16|1|||||||||6600|10908|60,5035788853056|2||154637|Sydney (C) (Adm2). 
2001-0045-AUS|2001|0045||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Brisbane district (Queensland province), Kiama, Shellharbour, Wingecarribee, Wollongong, Hornsby, Ku-ring-gai, Waverley, Richmond Valley, Armidale Dumaresq, Tamworth Regional, Clarence Valley, Kyogle districts (New South Wales province)|||||||||Kph|||||2001|1|18|2001|1|18|1|27|||27|||||||60,5035788853056|2||5021;5029;5031;5032;5080;5105;5111;5113;143250;154617;154636;154638;154654|Armidale Dumaresq (A), Brisbane (C), Clarence Valley (A), Hornsby (A), Kiama (A), Ku-ring-gai (A), Kyogle (A), Richmond Valley (A), Shellharbour (C), Tamworth Regional (A), Waverley (A), Wingecarribee (A), Wollongong (C) (Adm2). 
1998-9324-FJI|1998|9324||Natural|Climatological|Drought|Drought|||Fiji|FJI|Melanesia|Oceania|Viti Levu, Yasawa, Vanua Levu|Lack of rain, El Nino||||No|Yes|402|13700|Km2|||||1998|1||1998|||||263455||263455|||||||55,6998628053472||||
1998-9087-FSM|1998|9087||Natural|Climatological|Drought|Drought|||Micronesia (Federated States of)|FSM|Micronesia|Oceania|Pohnpei, Chuuk, Yap states|El Nino||||Yes|Yes|||Km2|||||1998|3||1998|||||28800||28800|||||||55,6998628053472||||
1999-0023-FJI|1999|0023||Natural|Meteorological|Storm|Tropical cyclone||Dani|Fiji|FJI|Melanesia|Oceania| Ba, Nadi, Lautoka, Tavua, Rakiraki Districts|||||||409||Kph|||||1999|1|19|1999|1|19|12|||1772|1772|||||3500|6149|56,9185870408555||||
1999-0340-FJI|1999|0340||Technological|Technological|Transport accident|Air|||Fiji|FJI|Melanesia|Oceania|||||||||||||||1999|7|24|1999|7|24|17|||||||||||56,9185870408555||||
1999-9086-KIR|1999|9086||Natural|Climatological|Drought|Drought|||Kiribati|KIR|Micronesia|Oceania|South Tarawa, Ocean Island|||||Yes|Yes|||Km2|||||1999|3||1999|||||84000||84000|||||||56,9185870408555||||
1999-0061-NCL|1999|0061||Natural|Meteorological|Storm|Tropical cyclone||Frank|New Caledonia|NCL|Melanesia|Oceania|Pouébo (Bourail commune)||||||||155|Kph|||||1999|2|23|1999|2|23||||||||||||56,9185870408555||||
1999-0502-NIU|1999|0502||Natural|Biological|Epidemic|Viral disease||Acute respiratory syndrome|Niue|NIU|Polynesia|Oceania||||||||||Vaccinated|||||1999|5||1999|5||1||297||297|||||||56,9185870408555||||
1999-0534-NZL|1999|0534||Natural|Hydrological|Flood|Riverine flood|||New Zealand|NZL|Australia and New Zealand|Oceania|Otago|||||||||Km2|||||1999|11|17|1999|11|17|||350||350|||||||56,9185870408555||||
2000-0806-FJI|2000|0806||Natural|Hydrological|Flood|Coastal flood|||Fiji|FJI|Melanesia|Oceania|Central, Western provinces|||||||||Km2|||||2000|12|6|2000|12|6|4|||||||||||58,8406484917497|1|40187;40190||Central, Western (Adm1). 
2000-0241-FSM|2000|0241||Natural|Biological|Epidemic|Bacterial disease||Cholera|Micronesia (Federated States of)|FSM|Micronesia|Oceania|Kitti, Nett, Kolonia, Madolenihmw municipalities (Pohnpei State)|||||No|No|||Vaccinated|||||2000|4|17|2000|8|21|19||3431||3431|||||||58,8406484917497||||
2000-0832-MHL|2000|0832||Natural|Biological|Epidemic|Bacterial disease||Cholera|Marshall Islands (the)|MHL|Micronesia|Oceania|Ebeye Isl., Kwajalein Atoll, Lae Atoll|||||||||Vaccinated|||||2000|12|1|2000|12|1|6||218||218|||||||58,8406484917497||||
2000-0558-NZL|2000|0558||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|Canterbury province|||||||||Km2|||||2000|8|20|2000|8|20||||||||||1000|1700|58,8406484917497|1|2173||Canterbury (Adm1). 
2000-0687-NZL|2000|0687||Natural|Meteorological|Storm||||New Zealand|NZL|Australia and New Zealand|Oceania|Canterbury province||||||||160|Kph|||||2000|10|11|2000|10|11||||||||||||58,8406484917497|1|2173||Canterbury (Adm1). 
1998-0427-PYF|1998|0427||Natural|Hydrological|Landslide|Landslide|||French Polynesia|PYF|Polynesia|Oceania|Tahiti||||||||||||||1998|12|22|1998|12|22|||500||500|||||||55,6998628053472||||
1998-9223-SLB|1998|9223||Natural|Climatological|Drought|Drought|||Solomon Islands|SLB|Melanesia|Oceania|Basakana Island|El Nino||||No|No||1|Km2|||||1998|8||1998|||||380||380|||||||55,6998628053472||||
1998-0440-TON|1998|0440||Natural|Meteorological|Storm|Tropical cyclone||Cora|Tonga|TON|Polynesia|Oceania|Haapai Isl.||||||||160|Kph|||||1998|12|26|1998|12|26|||3071||3071|||||||55,6998628053472||||
1999-0524-VUT|1999|0524||Natural|Geophysical|Earthquake|Ground movement|||Vanuatu|VUT|Melanesia|Oceania|Pentecost, Ambrym, Paama, Epi Islands||Slide (land, mud, snow, rock)|Tsunami/Tidal wave|||Yes|292|8|Richter|-16.423|168.214|0:21||1999|11|27|1999|11|27|12|100|12000|2000|14100|||||||56,9185870408555||||
1999-0126-PNG|1999|0126||Natural|Hydrological|Flood|Riverine flood|||Papua New Guinea|PNG|Melanesia|Oceania|Ouest de la PNG, Ibongu district|||||||||Km2|||||1999|4|23|1999|4|23|2|||38000|38000|||||43228|75947|56,9185870408555||||
1999-0073-PNG|1999|0073||Technological|Technological|Transport accident|Air|||Papua New Guinea|PNG|Melanesia|Oceania|Nouvelle Bretagne Occidentale Province||||||||||||||1999|2|3|1999|2|3|11|||||||||||56,9185870408555||||
1999-0219-PNG|1999|0219||Technological|Technological|Transport accident|Air|||Papua New Guinea|PNG|Melanesia|Oceania|Goraka (Province Eastern Highlands)||||||||||||||1999|6|17|1999|6|17|10|||||||||||56,9185870408555||||
1999-0173-VUT|1999|0173||Natural|Meteorological|Storm||||Vanuatu|VUT|Melanesia|Oceania||||||||||Kph|||||1999|5|8|1999|5|8|32|||||||||||56,9185870408555||||
2000-0749-PNG|2000|0749||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|Duke of York island (Kokopo district, East New Britain province), New Ireland, Northern Solomons provinces||Tsunami/Tidal wave||||||8|Richter|-3.98|152.169|14:54||2000|11|16|2000|11|16|2|||5000|5000|||||||58,8406484917497|1;2|2302;2304|37482|New Ireland, Northern Solomons (Adm1). Kokopo (Adm2). 
2000-0113-TUV|2000|0113||Technological|Technological|Miscellaneous accident|Fire||Dormitory|Tuvalu|TUV|Polynesia|Oceania|Vaitupo Isl.||||||||||||||2000|3|9|2000|3|9|18|||||||||||58,8406484917497||||
2001-0093-VUT|2001|0093||Natural|Meteorological|Storm|Tropical cyclone||Paula|Vanuatu|VUT|Melanesia|Oceania|Malukulan Ambrym, Paama, Lopevi islands (Malampa province), Efate, Shepherd islands (Shefa province)||||||||200|Kph|||||2001|2|28|2001|2|28|1|||||||||||60,5035788853056|1|3296;3299||Malampa, Shefa (Adm1). 
2001-0301-AUS|2001|0301||Natural|Meteorological|Storm|Convective storm|Severe storm||Australia|AUS|Australia and New Zealand|Oceania|Gold Coast district (Queensland province)|||||||||Kph|||||2001|4|26|2001|4|26|||180||180|||||||60,5035788853056|2||154667|Gold Coast (C) (Adm2). 
2001-0130-AUS|2001|0130||Natural|Hydrological|Flood|Riverine flood|||Australia|AUS|Australia and New Zealand|Oceania|Maclean, Yamba villages (Clarence Valley district, New South Wales province), Lismore, Woodburn villages (Lismore district, New South Wales province), Mullumbimby village (Byron district, New South Wales province), Murwillumbah area (Tweed district, New South Wales province), Smithtown, Gladstone areas (Kempsey district, New South Wales province), Coffs Harbour, Ballina, Kyogle, New South Wales|Heavy rain|||||||30880|Km2||||Macleay, Clarence, Bellinger, Nambucca, Orara|2001|3|8|2001|3|15|3|1|3000||3001|||||200000|330559|60,5035788853056|2||4946;4968;5028;5032;5038;5094;154617;154620|Ballina (A), Byron (A), Clarence Valley (A), Coffs Harbour (C), Kempsey (A), Kyogle (A), Lismore (C), Tweed (A) (Adm2). 
2001-0655-AUS|2001|0655||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|New South Wales province||||||||280|Km2|||||2001|10||2001|10|||||||||||||60,5035788853056|1|470||New South Wales (Adm1). 
2001-0699-AUS|2001|0699||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province), Canberra (Unincorporated ACT district, Australian Capital Territory province)||||Yes||Yes||5500|Km2|||||2001|12|25|2002|1|16|||4400||4400|||35000|57848|90000|148752|60,5035788853056|2||4940;4944;4945;4948;4963;4967;4972;5020;5023;5024;5030;5031;5035;5044;5045;5048;5060;5066;5069;5073;5075;5076;5085;5086;5104;5105;5109;5114;143252;154629;154637|Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Unincorporated ACT, Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) (Adm2). 
2002-0157-AUS|2002|0157||Natural|Meteorological|Storm||||Australia|AUS|Australia and New Zealand|Oceania|Sydney, Liverpoool, Fairfield, Holroyd, Parramatta, Blacktown, The Hills Shire, Campbelltown districts (New South Wales province)||Rain||||Yes||100|Kph|||||2002|2|16|2002|2|16||||||||||||61,4631882611914|2||4951;4956;4971;4999;5020;5039;5066;154637|Blacktown (C), Campbelltown (C), Fairfield (C), Holroyd (C), Liverpool (C), Parramatta (C), Sydney (C), The Hills Shire (A) (Adm2). 
2002-9611-AUS|2002|9611||Natural|Climatological|Drought|Drought|||Australia|AUS|Australia and New Zealand|Oceania|Queensland, New South Wales provinces|El Nino|Wildfire|||||||Km2|||||2002|4||2002|11|||||||||||2000000|3253980|61,4631882611914|1|470;473||New South Wales, Queensland (Adm1). 
2002-0637-AUS|2002|0637||Natural|Meteorological|Storm|Convective storm|Severe storm||Australia|AUS|Australia and New Zealand|Oceania|New South Wales province||||||||120|Kph|||||2002|9|19|2002|9|19||||||||||||61,4631882611914|1|470||New South Wales (Adm1). 
