country_name,country_code,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020
LESOTHO,LSO,-12891.0,-13676.0,-14381.0,-15018.0,-15511.0,-16279.0,-17727.0,-20220.0,-21347.0,-22483.0,-23572.0,-24606.0,-25582.0,-26420.0,-27129.0,-22692.0,-11085.0,-9748.0,-3102.0,-4626.0,-6204.0,-6852.0,-6827.0,-6452.0,-5466.0,-4129.0,-3861.0,-3327.0,-3234.0,-2989.0,-1490.0
LITHUANIA,LTU,-7205.0,-10338.0,-13235.0,-15569.0,-18110.0,-20394.0,-22642.0,-25088.0,-27099.0,-29076.0,-31240.0,-33177.0,-33905.0,-34848.0,-35427.0,-35453.0,-34885.0,-33813.0,-32451.0,-30706.0,-28864.0,-26445.0,-24664.0,-22781.0,-20883.0,-18912.0,-17334.0,-15937.0,-14451.0,-13398.0,-12625.0
LUXEMBOURG,LUX,3925.0,3994.0,3934.0,3963.0,3753.0,4225.0,3567.0,3594.0,3724.0,4642.0,4407.0,3339.0,2684.0,5400.0,4482.0,6190.0,5568.0,6185.0,7960.0,6745.0,7793.0,10787.0,10251.0,10553.0,11181.0,11373.0,12535.0,9563.0,10096.0,10365.0,6952.0
LATVIA,LVA,-10252.0,-13008.0,-15314.0,-17257.0,-18818.0,-20017.0,-20842.0,-21349.0,-21441.0,-21131.0,-20514.0,-19909.0,-19291.0,-18671.0,-18142.0,-17620.0,-17116.0,-16590.0,-15933.0,-15152.0,-14321.0,-13447.0,-12981.0,-12505.0,-11830.0,-11163.0,-10340.0,-9498.0,-8632.0,-7903.0,-7381.0
"MACAO SAR, CHINA",MAC,7443.0,6206.0,3407.0,3464.0,3516.0,3740.0,3885.0,4068.0,4115.0,4227.0,4134.0,6581.0,11276.0,11452.0,11508.0,11407.0,11402.0,11333.0,11325.0,11257.0,11168.0,9169.0,6156.0,6050.0,6034.0,6465.0,6962.0,7727.0,8219.0,8578.0,8441.0
ST. MARTIN (FRENCH PART),MAF,2.0,-512.0,-554.0,-603.0,-651.0,-704.0,-760.0,-827.0,-899.0,-392.0,159.0,158.0,161.0,158.0,158.0,150.0,128.0,98.0,52.0,-9.0,-447.0,-857.0,-962.0,-1013.0,-865.0,-662.0,-734.0,-816.0,-1356.0,-949.0,-949.0
MOROCCO,MAR,-104908.0,-130743.0,-118907.0,-121197.0,-115414.0,-97336.0,-98110.0,-95238.0,-94306.0,-91664.0,-90376.0,-84706.0,-91645.0,-108908.0,-66711.0,-58941.0,-72241.0,-73718.0,-78864.0,-82207.0,-70490.0,-67369.0,-65136.0,-67026.0,-72062.0,-81202.0,-57256.0,-71807.0,-89007.0,-91959.0,-33807.0
MONACO,MCO,347.0,328.0,325.0,322.0,306.0,290.0,287.0,291.0,260.0,163.0,16.0,-65.0,-61.0,-73.0,-106.0,-137.0,-180.0,-229.0,318.0,795.0,823.0,858.0,955.0,960.0,988.0,1019.0,416.0,416.0,416.0,416.0,206.0
MOLDOVA,MDA,-14931.0,-16473.0,-17859.0,-19258.0,-21551.0,-25033.0,-29171.0,-34189.0,-40503.0,-47481.0,-44421.0,-46128.0,-46960.0,-49890.0,-40505.0,-51269.0,-68092.0,-69289.0,-70166.0,-70926.0,-86459.0,-88796.0,-91035.0,-90637.0,-67173.0,-59404.0,-51633.0,-43868.0,-36088.0,-28328.0,-14278.0
MADAGASCAR,MDG,-1792.0,-1751.0,-1901.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,-1487.0,-742.0
MALDIVES,MDV,-243.0,-236.0,-304.0,-382.0,-538.0,-518.0,-662.0,-628.0,-732.0,-731.0,133.0,547.0,542.0,439.0,402.0,195.0,4945.0,6106.0,5931.0,5992.0,6244.0,6504.0,6660.0,6794.0,12535.0,12526.0,12191.0,11665.0,10578.0,6690.0,1134.0
MEXICO,MEX,-286584.0,-319832.0,-298907.0,-316437.0,-276896.0,-313979.0,-320872.0,-312542.0,-302976.0,-335401.0,-356430.0,-348349.0,-324106.0,-332396.0,-270797.0,-318048.0,-312270.0,-309663.0,-321847.0,-289132.0,-41156.0,4184.0,-48160.0,-101719.0,-100413.0,-82173.0,33094.0,-12438.0,-99430.0,-47764.0,-9949.0
MARSHALL ISLANDS,MHL,-593.0,-629.0,-654.0,-687.0,-723.0,-743.0,-754.0,-756.0,-767.0,-1043.0,-1323.0,-1442.0,-1532.0,-1595.0,-1627.0,-1637.0,-1647.0,-1662.0,-1641.0,-1544.0,-1415.0,-1901.0,-1901.0,-1901.0,-1901.0,-1901.0,-1901.0,-1901.0,-1901.0,-1901.0,-1901.0
NORTH MACEDONIA,MKD,-16174.0,-35899.0,-34300.0,-36691.0,-21003.0,-3605.0,-394.0,-470.0,-591.0,5809.0,5516.0,7328.0,-2858.0,-2880.0,-2638.0,-2250.0,-1858.0,-1558.0,-1454.0,-1478.0,-1578.0,-1690.0,-1758.0,-1737.0,-1597.0,-1378.0,-1164.0,-1018.0,-1000.0,-987.0,-486.0
MALI,MLI,-68856.0,-77380.0,-70975.0,-68995.0,-63686.0,-67932.0,-68134.0,-56107.0,-30323.0,-21740.0,-17423.0,-12530.0,-8926.0,-11780.0,-10805.0,-17436.0,-18275.0,-19966.0,-24538.0,-34428.0,-34523.0,-43216.0,-140747.0,-41013.0,-50149.0,-48947.0,-30294.0,-33995.0,-40761.0,-44428.0,-14978.0
